n,Run,Target,Input List,Brute Force Sum,Greedy Sum,Quality Gap,Quality Ratio,Percent Gap,Greedy Optimal,Greedy Valid,Brute Force Time,Greedy Time
16,7,357,"[79, 29, 7, 66, 78, 59, 42, 27, 73, 52, 78, 40, 3, 57, 10, 15]",357,357,0,1.0,0.0,True,True,0.0014120639989414485,4.839999746764079e-06
16,8,489,"[76, 27, 56, 18, 25, 71, 8, 93, 57, 95, 98, 88, 59, 46, 84, 77]",489,485,4,0.9918200408997955,0.81799591002045,False,True,0.0017352709983242676,4.0000013541430235e-06
16,9,450,"[60, 66, 87, 15, 94, 66, 53, 77, 42, 60, 47, 6, 36, 74, 38, 79]",450,449,1,0.9977777777777778,0.2222222222222222,False,True,0.0014139960003376473,3.5619996197056025e-06
16,10,487,"[61, 94, 57, 95, 56, 91, 32, 58, 47, 17, 52, 79, 61, 18, 96, 60]",487,487,0,1.0,0.0,True,True,0.0022444530004577246,3.8359994505299255e-06
16,11,407,"[52, 31, 79, 55, 64, 73, 30, 89, 15, 13, 92, 21, 91, 19, 10, 81]",407,405,2,0.995085995085995,0.4914004914004914,False,True,0.0012057469994033454,7.508999260608107e-06
16,12,440,"[8, 35, 27, 18, 93, 29, 89, 79, 85, 39, 88, 95, 91, 41, 26, 37]",440,438,2,0.9954545454545455,0.45454545454545453,False,True,0.0012442820006981492,3.7310001061996445e-06
16,13,404,"[45, 67, 56, 54, 26, 74, 47, 10, 96, 73, 22, 53, 23, 53, 77, 32]",404,397,7,0.9826732673267327,1.7326732673267329,False,True,0.0025015560004248982,4.715000613941811e-06
16,14,425,"[34, 50, 88, 89, 68, 77, 68, 41, 13, 53, 73, 17, 38, 34, 46, 62]",425,425,0,1.0,0.0,True,True,0.0020100800011277897,3.3510004868730903e-06
16,15,419,"[52, 95, 68, 77, 92, 81, 58, 58, 41, 14, 15, 18, 54, 90, 22, 4]",419,416,3,0.9928400954653938,0.7159904534606205,False,True,0.00137265400007891,2.9650000215042382e-06
16,16,494,"[80, 79, 35, 91, 48, 80, 67, 77, 85, 54, 30, 25, 80, 43, 99, 15]",494,489,5,0.9898785425101214,1.0121457489878543,False,True,0.0017882819993246812,3.189999915775843e-06
16,17,364,"[14, 78, 9, 8, 82, 16, 43, 56, 35, 46, 17, 39, 92, 12, 94, 87]",364,364,0,1.0,0.0,True,True,0.0010045059989352012,2.844000846380368e-06
16,18,392,"[35, 61, 20, 18, 51, 73, 48, 4, 19, 76, 49, 60, 98, 32, 98, 42]",392,391,1,0.9974489795918368,0.25510204081632654,False,True,0.0015298990001610946,3.1500003387918696e-06
16,19,491,"[27, 94, 88, 31, 61, 84, 19, 90, 78, 42, 88, 42, 65, 47, 46, 81]",491,491,0,1.0,0.0,True,True,0.002111068000886007,2.6670004444895312e-06
16,20,321,"[92, 49, 11, 72, 10, 12, 19, 18, 75, 78, 33, 29, 74, 6, 35, 29]",321,319,2,0.9937694704049844,0.6230529595015576,False,True,0.000589698998737731,6.766000296920538e-06
16,21,304,"[27, 4, 90, 11, 42, 45, 73, 8, 54, 17, 39, 3, 86, 44, 4, 62]",304,303,1,0.9967105263157895,0.3289473684210526,False,True,0.0005854880000697449,4.407000233186409e-06
16,22,408,"[7, 50, 50, 61, 93, 44, 79, 52, 95, 33, 75, 30, 48, 66, 5, 29]",408,408,0,1.0,0.0,True,True,0.0012614059996849392,5.3869989642407745e-06
